;SOFTWARE REQUERIDO PREGRADO 2018-20;;;;;;;;;;;;;;;;;
;DPTO;SALA;MATERIA_NOMBRE;SOFTWARE REQUERIDO;Licencia;Versión 2018-1;Softw único;Tipo Licencia;cuantas;Nº de cursos;Nº de alumnos;Nº de alumnos Oferta;Procesador;velocidad del procesador;arquitectura;sistema operativo;memoria ram(GB);disco duro(GB)
;DIS;309C;Diseño Tridimensional;Makerware - imp 3D ;Aplicación gratuita;2.7.1.5664;;Libre;;3;72;72;;;64 bits;;1;1
;DIS;309C;Diseño Tridimensional;Rhinoceros English y español;Mantenimiento-anual;5.0;;Limitada a cantidad Concurrente;;3;72;72;Intel Core i5;2Ghz;64 bits;Windows 10;8;0.6
;DIS;309C;Diseño Tridimensional;Creative Cloud;Licenciado-anual;Creative Coud (crear paquete);;Limitada a cantidad;;3;72;72;Multicore Intel processor.;3,33GHz;64 bits;>=Mac OS X 10.6.8;4;10.5
;DIS;309C;Diseño Tridimensional;3ds Max Studio;Convenio;2018(20.0.0.966);;Limitada a cantidad Concurrente;;3;72;72;Intel o AMD multicore;1 GHz;64 bits;>=Windows 7;4;6
;DIS;309C;Diseño Tridimensional;Autodesk Print Studio;Convenio;1.6.5;;Limitada a cantidad Concurrente;;1;24;19;64-bit processor;1 GHz;64 bits;Windows 10;4;2
;DIS;302C;Teoría del color;Creative Cloud;Licenciado-anual;Creative Coud (crear paquete);;Limitada a cantidad;;1;24;19;Multicore Intel processor.;3,33GHz;64 bits;>=Mac OS X 10.6.8;4;10.5
;DIS;311C;Diseño 4D;Creative Cloud;Licenciado-anual;Creative Coud (crear paquete);;Limitada a cantidad;;1;24;19;Multicore Intel processor.;3,33GHz;64 bits;>=Mac OS X 10.6.8;4;10.5
;DIS;310C;Diseño de sonido;Creative Cloud;Licenciado-anual;Creative Coud (crear paquete);;Limitada a cantidad;;1;24;19;Multicore Intel processor.;3,33GHz;64 bits;>=Mac OS X 10.6.8;4;10.5
;DIS;310C;Diseño de sonido;Creative Cloud;Licenciado-anual;Creative Coud (crear paquete);;Limitada a cantidad;;1;24;19;Multicore Intel processor.;3,33GHz;64 bits;>=Mac OS X 10.6.8;4;10.5
;DIS;310C;Diseño de sonido;PureData;Aplicación gratuita;0.48.0;;Libre;;2;28;39;;;64 bits;;;
;DIS;310C;Diseño de sonido;Reaper;Licenciado-perpetuo;5.62;SI;Limitada a cantidad;25;1;23;24;;;64 bits;;;
;DIS;310C;Diseño de sonido;VLC Media Player;Aplicación gratuita;2.2.6;;Libre;;1;24;24;64-bit x86 Intel Core;1.3GHz;64 bits;Windows;4;0.7
;DIS;310C;Diseño de sonido;Audacity;Aplicación gratuita;2.2.0;;Libre;;1;24;24;SSE2 support;2 GHz;64 bits;>= OS X 10.7;4;55
;DIS;310C;Diagramación y Tipografía;Creative Cloud;Licenciado-anual;Creative Coud (crear paquete);;Limitada a cantidad;;1;24;24;Multicore Intel processor.;3,33GHz;64 bits;>=Mac OS X 10.6.8;4;10.5
;DIS;310C;Diagramación y Tipografía;Adobe Reader;Aplicación gratuita;2018.009.20044;;Libre;;1;24;24;Intel; 1,3 GHz;64 bits;>=Windows 7;0.256;0.320
;DIS;302C;Arquitectura de la información;Adobe Reader;Aplicación gratuita;2018.009.20044;;Libre;;1;24;24;Intel; 1,3 GHz;64 bits;>=MAC OS 10.8;1;0.350
;DIS;302C;Arquitectura de la información;Creative Cloud;Licenciado-anual;Creative Coud (crear paquete);;Limitada a cantidad;;1;24;24;Multicore Intel processor.;3,33GHz;64 bits;>=Mac OS X 10.6.8;4;10.5
;DIS;302C;Arquitectura de la información;Audacity;Aplicación gratuita;2.2.0;;Libre;;1;19;24;SSE2 support;2 GHz;64 bits;>= OS X 10.7;4;55
;DIS;302C;Arquitectura de la información;Adobe Experience Design CC;#N/A;#N/A;;#N/A;;1;19;24;Intel o AMD multicore;2 GHz;64 bits;>=MAC OS 10.11;4;2
;DIS;302C;Arquitectura de la información;Brackets;Aplicación gratuita;1.11.0.175.24;;Libre;;1;20;24;Multicore Intel processor.;1 Ghz;64 bits;Mac OSX 10.6.8;2;0.2
;DIS;302C;Arquitectura de la información;Filezilla;Aplicación gratuita;3.29.0;;Libre;;1;20;24;;;64 bits;;;
;DIS;310C;Interacción Hombre-Computador;Processing + librerías;Aplicación gratuita;3.3.6;;Libre;;1;20;24;Intel i5;3 ghz;64 bits; Windows 10;16;64
;DIS;310C;Interacción Hombre-Computador I;Reactivision;Aplicación gratuita;1.5.1;;Libre;;1;20;24;;;64 bits;;;
;DIS;310C;Interacción Hombre-Computador I;SDK Kinect;Aplicación gratuita;#¡REF!;;Libre;;1;20;24;64-bit processor.;3.1 GHz;64 bits;>=Mac OS X 10.9 ;2;1
;DIS;310C;Interacción Hombre-Computador I;SDK Leapmotion;Aplicación gratuita;2.3.1;;Libre;;1;20;24;Intel i5;3.70 GHz;64 bits;>=Windows 7;8;3
;DIS;310C;Interacción Hombre-Computador I;Eclipse Oxygen;Aplicación gratuita;4.7.1;;Libre;;1;17;22;With SEE ;1.5 Ghz;64 bits;>=Windows 7;2;1
;DIS;310C;Interacción Hombre-Computador I;PureData;Aplicación gratuita;0.48.0;;Libre;;1;17;22;;;64 bits;;;
;DIS;310C;Interacción Hombre-Computador I;Adobe Experience Design CC;#N/A;#N/A;;#N/A;;1;17;22;Intel o AMD multicore;2 GHz;64 bits;>=MAC OS 10.11;4;2
