;SOFTWARE REQUERIDO PREGRADO 2018-20;;;;;;;;;;;;;;;;;
;DPTO;SALA;MATERIA_NOMBRE;SOFTWARE REQUERIDO;Licencia;Versión 2018-1;Softw único;Tipo Licencia;cuantas;Nº de cursos;Nº de alumnos Demanda;Nº de alumnos Oferta;Procesador;velocidad del procesador;arquitectura;sistema operativo;memoria ram;disco duro
;IND;305C;Investigación de operaciones;OpenSolver - complemento de excel;Aplicación gratuita;Complemento;;Libre;;3;68;84;;;;;;
;IND;305C;Investigación de operaciones;SolverStudio - Complemento de Excel;Aplicación gratuita;Complemento;;Libre;;3;68;84;;;;;;
;IND;305C;Investigación de operaciones;Lingo Student;Mantenimiento-anual;17.0;;Ilimitada;;3;68;84;;;;;;
;IND;201H/304C;Procesos y procedimientos;Office;Licenciado-anual;2013;;Contrato Microsoft;;3;55;60; with SSE2 instruction set.;1 GHz;64 bits;>= windows XP;2 GB;3 GB
;IND;201H/304C;Procesos y procedimientos;Microsoft Office Visio Professional;Licenciado-anual;2013;;Contrato Microsoft;;3;55;60; with SSE2 instruction set.;1 Ghz;64-bit ;>=Windows 7;2 GB;3 GB
;IND;304C;Ingeniería del ciclo de vida;SimaPro Multi;Licenciado-anual;8.3.0.0;;Departamental License;;2;32;40;;;;;;
;IND;304C;Ingeniería del ciclo de vida;SolidWorks;Licenciado-anual;5.0;;Limitada a cantidad Concurrente;;2;32;40;;;;;;
;IND;305C;Gerencia de proyectos en Ingeniería;Microsoft Office Project Profesional;Licenciado-anual;2013;;Contrato Microsoft;;2;69;70; with SSE2 instruction set.;1 Ghz;64-bit ;>=Windows 7;2 GB;3 GB
;IND;101C/205C;Pensamiento sistémico;Rise of Nations;Licenciado-perpetuo;#¡REF!;SI;Limitada a cantidad;7;2;60;60;;;;;;
;IND;101C/205C;Pensamiento sistémico;Age of Empires III;Licenciado-perpetuo;Online;SI;Limitada a cantidad;31;2;60;60; with SSE2 instruction set.;1.4 Ghz;64 bits.;>=WindowsXP.;256 MB;2 GB
;IND;101C/205C;Pensamiento sistémico;OffWorld Traiding Company;Licenciado-perpetuo;Online;SI;Limitada a cantidad;31;2;60;60;;;;;;
;IND;101C/205C;Pensamiento sistémico;Factorio;Licenciado-perpetuo;Online;SI;Limitada a cantidad;31;2;60;60;;;;;;
;IND;101C/205C;Pensamiento sistémico;Vensim® PLE;#¡REF!;7.1;;Libre;;2;60;60;;;;;;
;IND;101C/205C;Pensamiento sistémico;IHMC CmapTools;Aplicación gratuita;6.03;;Libre;;2;60;60;;;;;;
;IND;205C;Dinámica de sistemas;Vensim® PLE;#¡REF!;7.1;;Libre;;1;19;30;;;;;;
;IND;303C/304C;Dinámica de sistemas;Stella Architect;Mantenimiento-anual;1.5;;Limitada a cantidad Concurrente;;1;19;30;;;;;;
;IND;303C/304C;Dinámica de sistemas;I see Player;Aplicación gratuita;1.5;;Libre;;1;19;30;;;;;;
;IND;205C;Atención y asesoría a estudiantes;Rise of Nations;Licenciado-perpetuo;#¡REF!;;Limitada a cantidad;;0;0;0;;;;;;
