;SOFTWARE REQUERIDO PREGRADO 2018-20;;;;;;;;;;;;;;;;;
;DPTO;SALA;MATERIA_NOMBRE;SOFTWARE REQUERIDO;Licencia;Versión 2018-1;Softw único;Tipo Licencia;cuantas;Nº de cursos;Nº de alumnos;Nº de alumnos Oferta;Procesador;velocidad del procesador;arquitectura;sistema operativo;memoria ram(GB);disco duro(GB)
;FIN;303C;Reestructuración y valoración de empresas;Forecast Pro XE;Licenciado-anual;6.0.1.3;SI;Limitada a cantidad;36;1;7;30;;;64 bits;;;
;FIN;303C;Reestructuración y valoración de empresas;Office;Licenciado-anual;2013;;Contrato Microsoft;;1;7;30; with SSE2 instruction set.;1 GHz;64 bits;>= windows XP;2;3
;FIN;303C;Finanzas internacionales I;Office;Licenciado-anual;2013;;Contrato Microsoft;;3;92;84; with SSE2 instruction set.;1 GHz;64 bits;>= windows XP;2;3
;FIN;202C/203C/205C;Contabilidad financiera I;Office;Licenciado-anual;2013;;Contrato Microsoft;;1;15;35; with SSE2 instruction set.;1 GHz;64 bits;>= windows XP;2;3
;FIN;208C;Mercado Internacional de capitales;Office;Licenciado-anual;2013;;Contrato Microsoft;;1;25;29; with SSE2 instruction set.;1 GHz;64 bits;>= windows XP;2;3
;FIN;303C;Fundamentos de derivados;Office;Licenciado-anual;2013;;Contrato Microsoft;;1;6;30; with SSE2 instruction set.;1 GHz;64 bits;>= windows XP;2;3
;FIN;303C;Fundamentos de derivados;@Risk;Mantenimiento-anual;7.5.1;;Limitada a cantidad Concurrente;;1;6;30; with SSE2 instruction set.;2 GHz;64 bits;>= windows 7;2;1
;FIN;203C;Presupuestos;Office;Licenciado-anual;2013;;Contrato Microsoft;;1;16;25; with SSE2 instruction set.;1 GHz;64 bits;>= windows XP;2;3
;FIN;208C;Gerencia de riesgos financieros;Office;Licenciado-anual;2013;;Contrato Microsoft;;0;0;0; with SSE2 instruction set.;1 GHz;64 bits;>= windows XP;2;3
;FIN;202C/205C;Análisis financiero y Proyectos de Inversión;Office;Licenciado-anual;2013;;Contrato Microsoft;;3;67;84; with SSE2 instruction set.;1 GHz;64 bits;>= windows XP;2;3
;IND;304C;Planeación y control de las operaciones;Office;Licenciado-anual;2013;;Contrato Microsoft;;2;51;40; with SSE2 instruction set.;1 GHz;64 bits;>= windows XP;2;3
;IND;;Distribución de planta e instalaciones;SolidWorks;Licenciado-anual;5.0;;Limitada a cantidad Concurrente;;1;39;35;;;64 bits;;;
;IND;;Distribución de planta e instalaciones;AutoCAD;Convenio;2018;;Limitada a cantidad;;1;39;35;64-bit (x64) processor;1 GHz ;64 bits;Windows 10;8;16
;IND;207C;Calidad en Las operaciones;Minitab;Licenciado-anual;18.1.0.0;;Limitada a cantidad Concurrente;;2;48;58;Processor Intel Pentium 4;2Ghz;64 bits;>=Windows 7;2;2
;IND;207C;Calidad en Las operaciones;Office;Licenciado-anual;2013;;Contrato Microsoft;;2;48;58; with SSE2 instruction set.;1 GHz;64 bits;>= windows XP;2;3
;IND;305C;Investigación de operaciones;Office;Licenciado-anual;2013;;Contrato Microsoft;;3;68;84; with SSE2 instruction set.;1 GHz;64 bits;>= windows XP;2;3
;IND;305C;Investigación de operaciones;WEKA;Aplicación gratuita;3.8.1;;Libre;;3;68;84;;;64 bits;;;
;IND;305C;Investigación de operaciones;Máquina Virtual Ing,Industrial, XP,LOGWARE,WinQSB,EasyReg,Rstudio,Software R;#N/A;#N/A;;#N/A;;3;68;84;Core 2 Duo;3Ghz;64 bits; >=Windows 7;4;40
;IND;305C;Investigación de operaciones;OpenSolver - complemento de excel;Aplicación gratuita;Complemento;;Libre;;3;68;84;;;64 bits;;;
;IND;305C;Investigación de operaciones;SolverStudio - Complemento de Excel;Aplicación gratuita;Complemento;;Libre;;3;68;84;;;64 bits;;;
;IND;305C;Investigación de operaciones;Lingo Student;Mantenimiento-anual;17.0;;Ilimitada;;3;68;84;;;64 bits;;;
;IND;201H/304C;Procesos y procedimientos;Office;Licenciado-anual;2013;;Contrato Microsoft;;3;55;60; with SSE2 instruction set.;1 GHz;64 bits;>= windows XP;2;3
;IND;201H/304C;Procesos y procedimientos;Microsoft Office Visio Professional;Licenciado-anual;2013;;Contrato Microsoft;;3;55;60; with SSE2 instruction set.;1Ghz;64 bits;>=Windows 7;2;3
;IND;304C;Ingeniería del ciclo de vida;SimaPro Multi;Licenciado-anual;8.3.0.0;;Departamental License;;2;32;40; with SSE2 instruction set.;1.4 Ghz;64 bits;>=Windows 7;8;12
;IND;304C;Ingeniería del ciclo de vida;SolidWorks;Licenciado-anual;5.0;;Limitada a cantidad Concurrente;;2;32;40;;;64 bits;;;
;IND;305C;Gerencia de proyectos en Ingeniería;Microsoft Office Project Profesional;Licenciado-anual;2013;;Contrato Microsoft;;2;69;70; with SSE2 instruction set.;1Ghz;64 bits;>=Windows 7;2;3
;IND;101C/205C;Pensamiento sistémico;Rise of Nations;Licenciado-perpetuo;#¡REF!;SI;Limitada a cantidad;7;2;60;60;compatible processor with SSE3 support.;1.4 GHz;64 bits;>=Windows XP.;0.256;3.3
;IND;101C/205C;Pensamiento sistémico;Age of Empires III;Licenciado-perpetuo;Online;SI;Limitada a cantidad;31;2;60;60; with SSE2 instruction set.;1.4 Ghz;64 bits;>=WindowsXP.;0.256;2
;IND;101C/205C;Pensamiento sistémico;OffWorld Traiding Company;Licenciado-perpetuo;Online;SI;Limitada a cantidad;31;2;60;60;;;64 bits;;;
;IND;101C/205C;Pensamiento sistémico;Factorio;Licenciado-perpetuo;Online;SI;Limitada a cantidad;31;2;60;60;;;64 bits;;;
;IND;101C/205C;Pensamiento sistémico;Vensim® PLE;#¡REF!;7.1;;Libre;;2;60;60;;;64 bits;;;
;IND;101C/205C;Pensamiento sistémico;IHMC CmapTools;Aplicación gratuita;6.03;;Libre;;2;60;60;;;64 bits;;;
;IND;205C;Dinámica de sistemas;Vensim® PLE;#¡REF!;7.1;;Libre;;1;19;30;;;64 bits;;;
;IND;303C/304C;Dinámica de sistemas;Stella Architect;Mantenimiento-anual;1.5;;Limitada a cantidad Concurrente;;1;19;30;;;64 bits;;;
;IND;303C/304C;Dinámica de sistemas;I see Player;Aplicación gratuita;1.5;;Libre;;1;19;30;;;64 bits;;;
;IND;205C;Atención y asesoría a estudiantes;Rise of Nations;Licenciado-perpetuo;#¡REF!;;Limitada a cantidad;;0;0;0;Pentium 3;1.4 GHz;64 bits;>=Windows XP.;0.256;3.3
;IND;305C;Atención y asesoría a estudiantes;Age of Empires III;Licenciado-perpetuo;Online;SI;Limitada a cantidad;31;0;0;0; with SSE2 instruction set.;1.4 Ghz;64 bits;>=WindowsXP.;0.256;2
;IND;202H;Introducción a la Ingeniería Industrial;Office;Licenciado-anual;2013;;Contrato Microsoft;;3;43;48; with SSE2 instruction set.;1 GHz;64 bits;>= windows XP;2;3
;IND;202H;Introducción a la Ingeniería Industrial;Microsoft Office Visio Professional;Licenciado-anual;2013;;Contrato Microsoft;;3;43;48; with SSE2 instruction set.;1Ghz;64 bits;>=Windows 7;2;3
;IND;205C;Curso intermedio de Microsoft Excel;Office;Licenciado-anual;2013;;Contrato Microsoft;;1;17;30; with SSE2 instruction set.;1 GHz;64 bits;>= windows XP;2;3
;IND;205C;Curso intermedio de Microsoft Excel;PowerBi Desktop;Aplicación gratuita;2.52.4921.682;;Libre;;1;17;30; with SSE2 instruction set.;2 GHz;64 bits;>= windows XP;2;3
